"reference","slug","module_reference","part_reference","concept","title","description","order","global_order","directory","permalink"
"introduction-informatique-introduction","introduction","informatique-web","introduction-informatique","","Introduction","- introduction au module 
- introduction à la partie","1","1","introduction-informatique","introduction-informatique/introduction"
"introduction-informatique-apprentissage","apprentissage","informatique-web","introduction-informatique","","Apprentissage","","2","2","introduction-informatique","introduction-informatique/apprentissage"
"introduction-informatique-concepts-base-informatique","concepts-base-informatique","informatique-web","introduction-informatique","concepts-base-informatique","Concepts de base de l'informatique","","3","3","introduction-informatique","introduction-informatique/concepts-base-informatique"
"introduction-informatique-fonctionnement-ordinateur","fonctionnement-ordinateur","informatique-web","introduction-informatique","fonctionnement-ordinateur","Fonctionnement de l'ordinateur","","4","4","introduction-informatique","introduction-informatique/fonctionnement-ordinateur"
"introduction-informatique-rôle-langages-programmation","rôle-langages-programmation","informatique-web","introduction-informatique","rôle-langages-programmation","Rôle des langages de programmation","","5","5","introduction-informatique","introduction-informatique/rôle-langages-programmation"
"introduction-informatique-conclusion","conclusion","informatique-web","introduction-informatique","","Conclusion","","6","6","introduction-informatique","introduction-informatique/conclusion"
"introduction-web-introduction","introduction","informatique-web","introduction-web","","Introduction","","1","7","introduction-web","introduction-web/introduction"
"introduction-web-définition-web-internet","définition-web-internet","informatique-web","introduction-web","définition-web-internet","Définition de Web et Internet","","2","8","introduction-web","introduction-web/définition-web-internet"
"introduction-web-définition-html-css-javascript","définition-html-css-javascript","informatique-web","introduction-web","définition-html-css-javascript","Définition de HTML, CSS, et JavaScript","","3","9","introduction-web","introduction-web/définition-html-css-javascript"
"introduction-web-concepts-client-serveur","concepts-client-serveur","informatique-web","introduction-web","concepts-client-serveur","Concepts de base : client/serveur, requête, réponse","","4","10","introduction-web","introduction-web/concepts-client-serveur"
"introduction-web-définition-http","définition-http","informatique-web","introduction-web","définition-http","Définition de HTTP","","5","11","introduction-web","introduction-web/définition-http"
"introduction-web-conclusion","conclusion","informatique-web","introduction-web","","Conclusion","","6","12","introduction-web","introduction-web/conclusion"
"environnement-développement-introduction","introduction","informatique-web","environnement-développement","","Introduction","","1","13","environnement-développement","environnement-développement/introduction"
"environnement-développement-installation-éditeur-vs-code","installation-éditeur-vs-code","informatique-web","environnement-développement","installation-éditeur-vs-code","Installation d'un éditeur de code (VS Code)","","2","14","environnement-développement","environnement-développement/installation-éditeur-vs-code"
"environnement-développement-configuration-vs-code","configuration-vs-code","informatique-web","environnement-développement","configuration-vs-code","Configuration de l'éditeur et des extensions utiles","","3","15","environnement-développement","environnement-développement/configuration-vs-code"
"environnement-développement-réalisation","réalisation","informatique-web","environnement-développement","","Réalisation","","4","16","environnement-développement","environnement-développement/réalisation"
"environnement-développement-conclusion","conclusion","informatique-web","environnement-développement","","Conclusion","Tutorat - questions","5","17","environnement-développement","environnement-développement/conclusion"
"variable-affectation-introduction","introduction","programmation","variable-affectation","","Introduction","- introduction au module 
- introduction à la partie","1","18","variable-affectation","variable-affectation/introduction"
"variable-affectation-mini-projet","mini-projet","programmation","variable-affectation","","Mini-projet","","2","19","variable-affectation","variable-affectation/mini-projet"
"variable-affectation-apprentissage","apprentissage","programmation","variable-affectation","","Apprentissage","","3","20","variable-affectation","variable-affectation/apprentissage"
"variable-affectation-installation-nodejs","installation-nodejs","programmation","variable-affectation","","installation-nodejs","","4","21","variable-affectation","variable-affectation/installation-nodejs"
"variable-affectation-variables-types-données","variables-types-données","programmation","variable-affectation","","variables-types-données","","5","22","variable-affectation","variable-affectation/variables-types-données"
"variable-affectation-opérateurs","opérateurs","programmation","variable-affectation","","opérateurs","","6","23","variable-affectation","variable-affectation/opérateurs"
"variable-affectation-réalisation","réalisation","programmation","variable-affectation","","Réalisation","","7","24","variable-affectation","variable-affectation/réalisation"
"variable-affectation-conclusion","conclusion","programmation","variable-affectation","","Conclusion","","8","25","variable-affectation","variable-affectation/conclusion"
"structures-contrôle-introduction","introduction","programmation","structures-contrôle","","Introduction","","1","26","structures-contrôle","structures-contrôle/introduction"
"structures-contrôle-mini-projet-page-web","mini-projet-page-web","programmation","structures-contrôle","","Mini-projet : page web","","2","27","structures-contrôle","structures-contrôle/mini-projet-page-web"
"structures-contrôle-apprentissage","apprentissage","programmation","structures-contrôle","","Apprentissage","","3","28","structures-contrôle","structures-contrôle/apprentissage"
"structures-contrôle-conditions","conditions","programmation","structures-contrôle","conditions","Structures de contrôle - conditions","","4","29","structures-contrôle","structures-contrôle/conditions"
"structures-contrôle-boucles","boucles","programmation","structures-contrôle","boucles","Structures de contrôle - boucles","","5","30","structures-contrôle","structures-contrôle/boucles"
"structures-contrôle-conception","conception","programmation","structures-contrôle","","Conception","","6","31","structures-contrôle","structures-contrôle/conception"
"structures-contrôle-réalisation","réalisation","programmation","structures-contrôle","","Réalisation","","7","32","structures-contrôle","structures-contrôle/réalisation"
"structures-contrôle-conclusion","conclusion","programmation","structures-contrôle","","Conclusion","","8","33","structures-contrôle","structures-contrôle/conclusion"
