"reference","slug","order","module_reference","unit_reference","part","concept_categories","title","topics","description","tutorials","Todo","directory","permalink"
"concepts-base-informatique","concepts-base-informatique","1","informatique-web","introduction-informatique-web","introduction-informatique","introduction-informatique","Concepts de base de l'informatique","   - Définition de l'informatique
   - Importance de l'informatique dans le monde moderne","","","","informatique-web/introduction-informatique","informatique-web/concepts-base-informatique"
"fonctionnement-ordinateur","fonctionnement-ordinateur","2","informatique-web","introduction-informatique-web","introduction-informatique","introduction-informatique","Fonctionnement de l'ordinateur","   - Définition de l'ordinateur
   - Matériel (hardware) vs logiciel (software)
   - Les composants principaux d'un ordinateur (CPU, RAM, disque dur, etc.)","","","","informatique-web/introduction-informatique","informatique-web/fonctionnement-ordinateur"
"rôle-langages-programmation","rôle-langages-programmation","3","informatique-web","introduction-informatique-web","introduction-informatique","introduction-informatique","Rôle des langages de programmation","   - Langages de haut niveau vs bas niveau
   - Introduction aux différents types de langages de programmation (interprétés, compilés, etc.)","","","","informatique-web/introduction-informatique","informatique-web/rôle-langages-programmation"
"définition-web-internet","définition-web-internet","4","informatique-web","introduction-informatique-web","introduction-web","introduction-web","Définition de Web et Internet","   - Différence entre Web et Internet
   - Historique du Web","","","","informatique-web/introduction-web","informatique-web/définition-web-internet"
"définition-html-css-javascript","définition-html-css-javascript","5","informatique-web","introduction-informatique-web","introduction-web","introduction-web","Définition de HTML, CSS, et JavaScript","   - Rôle de chaque langage dans le développement web","","","","informatique-web/introduction-web","informatique-web/définition-html-css-javascript"
"concepts-client-serveur","concepts-client-serveur","6","informatique-web","introduction-informatique-web","introduction-web","introduction-web","Concepts de base : client/serveur, requête, réponse","   - Modèle client-serveur
   - Cycle de vie d'une requête HTTP","","","","informatique-web/introduction-web","informatique-web/concepts-client-serveur"
"définition-http","définition-http","7","informatique-web","introduction-informatique-web","introduction-web","introduction-web","Définition de HTTP","   - Protocole HTTP et ses méthodes principales (GET, POST, etc.)","","","","informatique-web/introduction-web","informatique-web/définition-http"
"installation-éditeur-vs-code","installation-éditeur-vs-code","8","informatique-web","introduction-informatique-web","environnement-développement","environnement-développement-base-frent-end","Installation d'un éditeur de code (VS Code)","","","","","informatique-web/environnement-développement","informatique-web/installation-éditeur-vs-code"
"configuration-vs-code","configuration-vs-code","9","informatique-web","introduction-informatique-web","environnement-développement","environnement-développement-base-frent-end","Configuration de l'éditeur et des extensions utiles","Extensions recommandées pour le développement web","","","","informatique-web/environnement-développement","informatique-web/configuration-vs-code"
"installation-nodejs","installation-nodejs","10","programmation","base-programmation-js","variable-affectation","Installation de Node.js","Installation de Node.js","Installation de Node.js et introduction à npm","","","","programmation/variable-affectation","programmation/installation-nodejs"
"variables-types-données","variables-types-données","11","programmation","base-programmation-js","variable-affectation","Variable et affectation","Variables et types de données","","","","","programmation/variable-affectation","programmation/variables-types-données"
"opérateurs","opérateurs","12","programmation","base-programmation-js","variable-affectation","Variable et affectation","Opérateurs","(arithmétiques, logiques, de comparaison)","","","","programmation/variable-affectation","programmation/opérateurs"
"conditions","conditions","13","programmation","base-programmation-js","structures-contrôle","Structures de contrôle","Structures de contrôle - conditions","","","","","programmation/structures-contrôle","programmation/conditions"
"boucles","boucles","14","programmation","base-programmation-js","structures-contrôle","Structures de contrôle","Structures de contrôle - boucles","(déclaration, appels, paramètres, retour)","","","","programmation/structures-contrôle","programmation/boucles"
"fonctions","fonctions","15","programmation","base-programmation-js","fonctions","Fonctions","Fonctions","","","","","programmation/fonctions","programmation/fonctions"
"introduction-html","introduction-html","16","page-web","html-css-js-bases","html-fondamentaux","Les Fondamentaux","Introduction à HTML","","","","","page-web/html-fondamentaux","page-web/introduction-html"
"structure-document-html","structure-document-html","17","page-web","html-css-js-bases","html-fondamentaux","Les Fondamentaux","Structure d'un document HTML","Balises de base et structure d'un document HTML","","","","page-web/html-fondamentaux","page-web/structure-document-html"
"éléments-html-base","éléments-html-base","18","page-web","html-css-js-bases","html-fondamentaux","Les Fondamentaux","Éléments HTML de base ","Titres, paragraphes, listes, images, liens","","","","page-web/html-fondamentaux","page-web/éléments-html-base"
"attributs-html","attributs-html","19","page-web","html-css-js-bases","html-fondamentaux","Les Fondamentaux","Attributs HTML ","Attributs globaux et spécifiques","","","","page-web/html-fondamentaux","page-web/attributs-html"
"texte-formatage","texte-formatage","20","page-web","html-css-js-bases","html-contenu","Le Contenu","Texte et formatage"," bold, italic, underline, etc.","","","","page-web/html-contenu","page-web/texte-formatage"
"images","images","21","page-web","html-css-js-bases","html-contenu","Le Contenu","Images ","src, alt, width, height","","","","page-web/html-contenu","page-web/images"
"liens","liens","22","page-web","html-css-js-bases","html-contenu","Le Contenu","Liens"," a href","","","","page-web/html-contenu","page-web/liens"
"listes","listes","23","page-web","html-css-js-bases","html-contenu","Le Contenu","Listes ","ul, ol, li","","","","page-web/html-contenu","page-web/listes"
"div-span-layout","div-span-layout","24","page-web","html-css-js-bases","html-contenu","La Structure","Div et span pour le layout","","","","","page-web/html-contenu","page-web/div-span-layout"
"introduction-css","introduction-css","25","page-web","html-css-js-bases","css-fondamentaux","Les base de CSS","Introduction à CSS","","","","","page-web/css-fondamentaux","page-web/introduction-css"
"intégration-css","intégration-css","26","page-web","html-css-js-bases","css-fondamentaux","Les base de CSS","Intégration du CSS","Liens externes, internes, en ligne","","","","page-web/css-fondamentaux","page-web/intégration-css"
