"reference","title","description","order"
"introduction-programmation-web","Introduction à la Programmation Web","","1"
"base-html","Les base de HTML","","2"
"base-css","Les base de CSS","","3"
"développement-sites-web-statiques","Développement de Sites Web Statiques avec HTML et CSS","","4"
"base-javascript","Les base de Javascript","","5"
"programmation-web-javaScript","Programmation Web avec JavaScript","","6"
"développement-sites-dynamiques-php","Développement de Sites Web Dynamiques avec PHP","","7"
"création-bases-données-sql-mysql","Création de Bases de Données avec SQL et MySQL","","8"
"développement-applications-web-laravel","Développement d'Applications Web avec Laravel","","9"
"développement-professionnel-applications-web-laravel","Développement Professionnel d'Applications Web","","10"
