"reference","title","description","image","in_book","order","module"
"introduction","Introduction","Découvrir le plan de formation","","true","0",""
"bien-démarrer-avec-html","Bien démarrer avec HTML","Apprendre les éléments essentiels de HTML pour commencer à bien apprendre les parties suivantes","","true","1","introduction-programmation-web"
"apprendre-html","Développement de Sites Web Statiques avec HTML","","","true","2","base-html"
"apprendre-css","Développement de Sites Web Statiques avec CSS","","","true","3","base-css"
"apprendre-javascript","Programmation Web avec JavaScript","","","true","4","base-javascript"
"apprendre-php","Développement de Sites Web Dynamiques avec PHP","","","true","5","développement-sites-dynamiques-php"
"apprendre-sql","Création de Bases de Données avec SQL et MySQL","","","true","6","création-bases-données-sql-mysql"
"apprendre-laravel","Développement d’Applications Web avec Laravel","","","true","7","développement-applications-web-laravel"
"développement-web-laravel","Développement Professionnel d’Applications Web","","","true","8","développement-professionnel-applications-web-laravel"
"auto-apprentissage","Auto apprentissage","Liste des auto apprentissage","","true","9",""
