"reference","slug","order","part","concept_reference","title","description","sujets","resource_categories","ressource","language","directory","link"
"html-w3schools-html-home","html-home","1","","","HTML HOME","","","html-tutorial","html-w3schools","en","html-w3schools/html-tutorial","https://www.w3schools.com/html/default.asp"
"html-w3schools-html-introduction","html-introduction","2","","","HTML Introduction","HTML: The language that defines the structure and content of web pages.","- Qu'est-ce que le HTML ?
- Un Document HTML Simple
- Qu'est-ce qu'un Élément HTML ?
- Les Navigateurs Web
- Structure d'une Page HTML
- Historique du HTML","html-tutorial","html-w3schools","en","html-w3schools/html-tutorial","https://www.w3schools.com/html/html_intro.asp"
"html-w3schools-html-editors","html-editors","3","","","HTML Editors","","- Ouvrir le Bloc-notes.
- Écrire du code HTML.
- Enregistrer en .html.
- Ouvrir dans un navigateur.","html-tutorial","html-w3schools","en","html-w3schools/html-tutorial","https://www.w3schools.com/html/html_editors.asp"
"html-w3schools-html-basic","html-basic","4","","","HTML Basic","","- Documents HTML
- Déclaration DOCTYPE
- Titres HTML
- Paragraphes HTML
- Liens HTML
- Images HTML
- Comment voir le code source HTML
    - Voir le code source HTML
    - Inspecter un élément HTML
- Exercices HTML ","html-tutorial","html-w3schools","en","html-w3schools/html-tutorial","https://www.w3schools.com/html/html_basic.asp"
"html-w3schools-html-elements","html-elements","5","","","HTML Elements","","- HTML Elements
- Nested HTML Elements
- Never Skip the End Tag
- Empty HTML Elements
- HTML is Not Case Sensitive","html-tutorial","html-w3schools","en","html-w3schools/html-tutorial","https://www.w3schools.com/html/html_elements.asp"
"html-w3schools-html-attributes","html-attributes","6","","","HTML Attributes","","- HTML Attributes
- The href Attribute
- The src Attribute
- The width and height Attributes
- The alt Attribute
- The title Attribute
- We Suggest: Always Quote Attribute Values","html-tutorial","html-w3schools","en","html-w3schools/html-tutorial","https://www.w3schools.com/html/html_attributes.asp"
"html-w3schools-html-headings","html-headings","7","","","HTML Headings","","","html-tutorial","html-w3schools","en","html-w3schools/html-tutorial","https://www.w3schools.com/html/html_headings.asp"
"html-w3schools-html-paragraphs","html-paragraphs","8","","","HTML Paragraphs","","","html-tutorial","html-w3schools","en","html-w3schools/html-tutorial","https://www.w3schools.com/html/html_paragraphs.asp"
"html-w3schools-html-links","html-links","9","","","HTML Links","","","html-tutorial","html-w3schools","en","html-w3schools/html-tutorial","https://www.w3schools.com/html/html_links.asp"
"html-w3schools-html-formatting","html-formatting","10","","","HTML Formatting","","","html-tutorial","html-w3schools","en","html-w3schools/html-tutorial","https://www.w3schools.com/html/html_formatting.asp"
